Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte1;Datei_P_Spalte1;Datei_P_Spalte2;Kategorie
öch;;;;;;;VOK_KON_ANL_KURZ
üch;;;;;;;VOK_KON_ANL_KURZ
aff;;;;;;;VOK_KON_ANL_KURZ
eff;;;;;;;VOK_KON_ANL_KURZ
iff;;;;;;;VOK_KON_ANL_KURZ
off;;;;;;;VOK_KON_ANL_KURZ
uff;;;;;;;VOK_KON_ANL_KURZ
öff;;;;;;;VOK_KON_ANL_KURZ
üff;;;;;;;VOK_KON_ANL_KURZ
ack;;;;;;;VOK_KON_ANL_KURZ
eck;;;;;;;VOK_KON_ANL_KURZ
ick;;;;;;;VOK_KON_ANL_KURZ
ock;;;;;;;VOK_KON_ANL_KURZ
uck;;;;;;;VOK_KON_ANL_KURZ
öck;;;;;;;VOK_KON_ANL_KURZ
ück;;;;;;;VOK_KON_ANL_KURZ
all;;;;;;;VOK_KON_ANL_KURZ
ell;;;;;;;VOK_KON_ANL_KURZ
ill;;;;;;;VOK_KON_ANL_KURZ
oll;;;;;;;VOK_KON_ANL_KURZ
ull;;;;;;;VOK_KON_ANL_KURZ
öll;;;;;;;VOK_KON_ANL_KURZ
üll;;;;;;;VOK_KON_ANL_KURZ
amm;;;;;;;VOK_KON_ANL_KURZ
emm;;;;;;;VOK_KON_ANL_KURZ
imm;;;;;;;VOK_KON_ANL_KURZ
omm;;;;;;;VOK_KON_ANL_KURZ
umm;;;;;;;VOK_KON_ANL_KURZ
ömm;;;;;;;VOK_KON_ANL_KURZ
ümm;;;;;;;VOK_KON_ANL_KURZ
ann;;;;;;;VOK_KON_ANL_KURZ
enn;;;;;;;VOK_KON_ANL_KURZ
inn;;;;;;;VOK_KON_ANL_KURZ
onn;;;;;;;VOK_KON_ANL_KURZ
unn;;;;;;;VOK_KON_ANL_KURZ
önn;;;;;;;VOK_KON_ANL_KURZ
ünn;;;;;;;VOK_KON_ANL_KURZ
app;;;;;;;VOK_KON_ANL_KURZ
epp;;;;;;;VOK_KON_ANL_KURZ
ipp;;;;;;;VOK_KON_ANL_KURZ
opp;;;;;;;VOK_KON_ANL_KURZ
upp;;;;;;;VOK_KON_ANL_KURZ
öpp;;;;;;;VOK_KON_ANL_KURZ
üpp;;;;;;;VOK_KON_ANL_KURZ
ass;;;;;;;VOK_KON_ANL_KURZ
ess;;;;;;;VOK_KON_ANL_KURZ
iss;;;;;;;VOK_KON_ANL_KURZ
oss;;;;;;;VOK_KON_ANL_KURZ
uss;;;;;;;VOK_KON_ANL_KURZ
öss;;;;;;;VOK_KON_ANL_KURZ
üss;;;;;;;VOK_KON_ANL_KURZ
asch;;;;;;;VOK_KON_ANL_KURZ
esch;;;;;;;VOK_KON_ANL_KURZ
isch;;;;;;;VOK_KON_ANL_KURZ
osch;;;;;;;VOK_KON_ANL_KURZ
usch;;;;;;;VOK_KON_ANL_KURZ
ösch;;;;;;;VOK_KON_ANL_KURZ
üsch;;;;;;;VOK_KON_ANL_KURZ
att;;;;;;;VOK_KON_ANL_KURZ
ett;;;;;;;VOK_KON_ANL_KURZ
itt;;;;;;;VOK_KON_ANL_KURZ
ott;;;;;;;VOK_KON_ANL_KURZ
utt;;;;;;;VOK_KON_ANL_KURZ
ött;;;;;;;VOK_KON_ANL_KURZ
ütt;;;;;;;VOK_KON_ANL_KURZ
atz;;;;;;;VOK_KON_ANL_KURZ
itz;;;;;;;VOK_KON_ANL_KURZ
etz;;;;;;;VOK_KON_ANL_KURZ
otz;;;;;;;VOK_KON_ANL_KURZ
utz;;;;;;;VOK_KON_ANL_KURZ
ötz;;;;;;;VOK_KON_ANL_KURZ
ütz;;;;;;;VOK_KON_ANL_KURZ
